"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"132","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","A l'heure",0,"","16 mai 2024 Ré"
"133","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","A l'heure",0,"","16 mai 2024 Ré"
"134","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","Non",30,"","16 mai 2024 Ré"
"135","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","A l'heure",0,"","16 mai 2024 Ré"
"136","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","16 mai 2024 Ré"
"137","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","16 mai 2024 Ré"
"138","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","Non",17,"","16 mai 2024 Ré"
"139","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","16 mai 2024 Ré"
"140","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","16 mai 2024 Ré"
"141","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","11h57","13h10","Supprimé",0,"","16 mai 2024 Ré"
"142","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","16 mai 2024 Ré"
"143","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","16 mai 2024 Ré"
"144","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","16 mai 2024 Ré"
"145","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","16 mai 2024 Ré"
"146","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","16 mai 2024 Ré"
"147","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","16 mai 2024 Ré"
"148","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h51","Non",6,"","16 mai 2024 Ré"
"149","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","16 mai 2024 Ré"
"150","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","16 mai 2024 Ré"
"151","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","A l'heure",0,"","16 mai 2024 Ré"
"152","LE HAVRE","PARIS-ST-LAZARE","18h01","20h25","A l'heure",0,"","16 mai 2024 Ré"
"153","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","A l'heure",0,"","16 mai 2024 Ré"
"154","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","16 mai 2024 Ré"
"155","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","Non",22,"","16 mai 2024 Ré"
"156","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","Non",9,"","16 mai 2024 Ré"
"157","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","Non",33,"","16 mai 2024 Ré"
"158","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","Non",15,"","16 mai 2024 Ré"
"159","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","Non",25,"","16 mai 2024 Ré"
"160","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","Non",34,"","16 mai 2024 Ré"
"161","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","16 mai 2024 Ré"
"162","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","Non",23,"","16 mai 2024 Ré"
